datetime,date,title,source,link,top_sentiment,sentiment_score
11/29/2024 11:30:29 AM,2024-11-29,"Biden admin debates on additional China chip curbs, Bloomberg says",TipRanks,/news/stocks/biden-admin-debates-on-additional-china-chip-curbs-bloomberg-says-1034080192,neutral,0.6221187114715576
11/27/2024 2:00:44 PM,2024-11-27,Notable open interest changes for November 27th,TipRanks,/news/stocks/notable-open-interest-changes-for-november-27th-1034072751,neutral,0.9144593477249146
11/26/2024 5:25:10 PM,2024-11-26,"Intel’s CHIPS Act grant lower than previously announced, says Citi",TipRanks,/news/stocks/intel-s-chips-act-grant-lower-than-previously-announced-says-citi-1034067872,negative,0.9049242734909058
11/26/2024 3:35:10 PM,2024-11-26,"Qualcomm interest in Intel acquisition has cooled, Bloomberg reports",TipRanks,/news/stocks/qualcomm-interest-in-intel-acquisition-has-cooled-bloomberg-reports-1034067631,negative,0.9511386156082153
11/26/2024 3:20:14 PM,2024-11-26,Intel To Get $7.865 Bln Govt. Grant For US Semiconductor Projects,RTTNews,/news/stocks/intel-to-get-7-865-bln-govt-grant-for-us-semiconductor-projects-1034065924,positive,0.9288522601127625
11/26/2024 10:10:32 AM,2024-11-26,"Intel, Biden-Harris Administration finalize $7.86B CHIPS Act funding award",TipRanks,/news/stocks/intel-biden-harris-administration-finalize-7-86b-chips-act-funding-award-1034065591,neutral,0.6611194610595703
11/26/2024 9:48:47 AM,2024-11-26,Qualcomm's interest in potential Intel acquisition has reportedly waned,Seeking Alpha,https://seekingalpha.com/news/4333614-qualcomm-interest-intel-acquisition-waned?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,negative,0.9403164386749268
11/25/2024 5:10:25 PM,2024-11-25,"Macy’s uncovers employee fraud, Summit to be acquired: Morning Buzz",TipRanks,/news/stocks/macy-s-uncovers-employee-fraud-summit-to-be-acquired-morning-buzz-1034062605,neutral,0.7660794854164124
11/25/2024 2:20:52 PM,2024-11-25,"Intel close to finalizing $8B CHIPS Act grant, CNBC says",TipRanks,/news/stocks/intel-close-to-finalizing-8b-chips-act-grant-cnbc-says-1034062041,positive,0.4995586574077606
11/25/2024 2:20:28 PM,2024-11-25,Intel up 3% after CNBC report on CHIPS Act funding,TipRanks,/news/stocks/intel-up-3-after-cnbc-report-on-chips-act-funding-1034062045,positive,0.8677482008934021
11/23/2024 2:53:59 AM,2024-11-23,Lattice Semi is considering making offer for Intel's Altera unit - Bloomberg,Seeking Alpha,https://seekingalpha.com/news/4323842-lattice-semi-is-considering-making-offer-for-intels-altera-unit-bloomberg?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,neutral,0.8726867437362671
11/21/2024 12:59:26 PM,2024-11-21,Nvidia's results and guidance were exceptional. Wall Street says ignore the noise.,Seeking Alpha,https://seekingalpha.com/news/4316205-nvidias-results-and-guidance-were-exceptional-wall-street-says-ignore-the-noise?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,positive,0.4913730025291443
11/20/2024 9:41:49 PM,2024-11-20,Nvidia just reported Q3 results. Wall Street wanted guidance a touch higher.,Seeking Alpha,https://seekingalpha.com/news/4311958-nvidia-q3-results-stock-falling?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,neutral,0.7222785949707031
11/19/2024 5:05:39 PM,2024-11-19,"Walmart higher, Lowe’s lower after earnings: Morning Buzz",TipRanks,/news/stocks/walmart-higher-lowe-s-lower-after-earnings-morning-buzz-1034038609,negative,0.8574802875518799
11/19/2024 11:20:20 AM,2024-11-19,"Biden Administration races to deliver chip grants, WSJ reports",TipRanks,/news/stocks/biden-administration-races-to-deliver-chip-grants-wsj-reports-1034036608,neutral,0.6782886981964111
11/13/2024 10:45:01 PM,2024-11-13,AMD vs INTC vs TSM: Will These Chipmakers Rally as High as NVDA?,TipRanks,/news/stocks/amd-vs-intc-vs-tsm-will-these-chipmakers-rally-as-high-as-nvda-1034012072,positive,0.8783680200576782
11/13/2024 5:09:31 PM,2024-11-13,Semiconductor foundry stocks mixed amid strong Tower Semiconductor Q3 results,Seeking Alpha,https://seekingalpha.com/news/4285816-semiconductor-foundry-stocks-mixed-amid-strong-tower-semiconductor-q3-results?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,negative,0.7711776494979858
11/12/2024 11:37:09 AM,2024-11-12,Citi says ‘almost time to buy’ semiconductor stocks again,TipRanks,/news/stocks/citi-says-almost-time-to-buy-semiconductor-stocks-again-1033999553,neutral,0.8110744953155518
11/11/2024 7:13:40 PM,2024-11-11,Chips mostly lower to start week ahead of key earnings; Monolithic Power slumps,Seeking Alpha,https://seekingalpha.com/news/4276258-chips-mostly-lower-to-start-week-ahead-of-key-earnings-monolithic-power-slumps?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,negative,0.9615458846092224
11/8/2024 8:00:23 PM,2024-11-08,"Catalyst Watch: Alibaba earnings, Disney drama, CPI print, 13F filings and more election scrambling",Seeking Alpha,https://seekingalpha.com/news/4266568-catalyst-watch-alibaba-earnings-disney-drama-cpi-print-13f-filings-and-more-election-scrambling?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,neutral,0.8763311505317688
11/7/2024 12:37:19 PM,2024-11-07,"Arm Holdings slumps even as Wall Street is encouraged by AI progress, potential",Seeking Alpha,https://seekingalpha.com/news/4260410-arm-holdings-slumps-even-as-wall-street-is-encouraged-by-ai-progress-potential?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,negative,0.9675309062004089
11/6/2024 9:04:06 PM,2024-11-06,Qualcomm just reported Q4 results. Here's why the stock is soaring.,Seeking Alpha,https://seekingalpha.com/news/4255650-qualcomm-q4-results-stock-soaring?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,neutral,0.546199381351471
11/6/2024 7:05:40 PM,2024-11-06,Here’s what Wall Street is saying about Qualcomm ahead of earnings,TipRanks,/news/stocks/here-s-what-wall-street-is-saying-about-qualcomm-ahead-of-earnings-1033964547,neutral,0.9386404156684875
11/6/2024 5:10:19 PM,2024-11-06,"Nvidia, Texas Instruments lead chips higher ahead of earnings from Qualcomm, Arm",Seeking Alpha,https://seekingalpha.com/news/4256340-nvidia-texas-instruments-lead-chips-higher-earnings-from-qualcomm-arm?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,positive,0.9247331023216248
11/6/2024 2:35:24 AM,2024-11-06,Intel (INTC) Gets a Hold from Truist Financial,TipRanks,/news/stocks/intel-intc-gets-a-hold-from-truist-financial-1033957065,neutral,0.7954955697059631
11/5/2024 2:57:21 PM,2024-11-05,"Chip roundup: GlobalFoundries, Astera Lab rise on earnings; Cirrus Logic, Navitas fall",Seeking Alpha,https://seekingalpha.com/news/4248708-chip-roundup-globalfoundries-astera-lab-rise-on-earnings-cirrus-logic-navitas-fall?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,positive,0.9024745225906372
11/4/2024 9:11:41 PM,2024-11-04,"Silver Lake, Bain prepare to bid for stake in Intel's Altera unit - Reuters",Seeking Alpha,https://seekingalpha.com/news/4245229-silver-lake-bain-prepare-to-bid-for-stake-in-intels-altera-unit-reuters?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,neutral,0.929542064666748
11/4/2024 8:45:20 PM,2024-11-04,"Silver Lake, Bain Capital to bid for stake in Intel’s Altera, Reuters reports",TipRanks,/news/stocks/silver-lake-bain-capital-to-bid-for-stake-in-intel-s-altera-reuters-reports-1033947300,neutral,0.8861925005912781
11/4/2024 5:01:13 PM,2024-11-04,"Nvidia to replace Intel on DJIA, Berkshire reports Q3 results: Morning Buzz",TipRanks,/news/stocks/nvidia-to-replace-intel-on-djia-berkshire-reports-q3-results-morning-buzz-1033946591,neutral,0.8430426120758057
11/4/2024 4:40:09 PM,2024-11-04,Analysts Conflicted on These Technology Names: Intel (INTC) and Super Micro Computer (SMCI),TipRanks,/news/stocks/analysts-conflicted-on-these-technology-names-intel-intc-and-super-micro-computer-smci-1033946509,negative,0.5522903800010681
11/4/2024 2:02:13 PM,2024-11-04,Notable open interest changes for November 4th,TipRanks,/news/stocks/notable-open-interest-changes-for-november-4th-1033945996,neutral,0.9057090878486633
